"Timestamp","What colour are the particles?

(Please choose a different colour for all 8 particles) [Red]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Green]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Blue]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Yellow]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Orange]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Purple]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Pink]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Brown]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Black]","What colour are the particles?

(Please choose a different colour for all 8 particles) [White]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Grey]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Gold]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Silver]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Cyan]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Magenta]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Beige]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Colourless]","(Optional) What colour are the quarks? [Red]","(Optional) What colour are the quarks? [Green]","(Optional) What colour are the quarks? [Blue]","(Optional) What colour are the quarks? [Yellow]","(Optional) What colour are the quarks? [Orange]","(Optional) What colour are the quarks? [Purple]","(Optional) What colour are the quarks? [Pink]","(Optional) What colour are the quarks? [Brown]","(Optional) What colour are the quarks? [Black]","(Optional) What colour are the quarks? [White]","(Optional) What colour are the quarks? [Grey]","(Optional) What colour are the quarks? [Gold]","(Optional) What colour are the quarks? [Silver]","(Optional) What colour are the quarks? [Cyan]","(Optional) What colour are the quarks? [Magenta]","(Optional) What colour are the quarks? [Beige]","(Optional) What colour are the quarks? [Colourless]","(Optional) Are you a particle physicist?"
"2022/12/07 10:57:34 pm GMT","Proton","Muon","","Electron","","Tau lepton","","","Higgs boson","","Neutron","","","Z boson","W boson(s)","","","Down quark","","Bottom quark","","","Strange quark","Charm quark","","","","","Top quark","","","","","","No"
"2022/12/07 11:47:22 pm GMT","Proton","","Neutron","Electron","","Tau lepton","","Higgs boson","Z boson","W boson(s)","","","","","","","","","","","","","","","","","","","","","","","","","No"
"2022/12/07 11:50:01 pm GMT","Proton","","Electron","W boson(s)","","Z boson","","","","","Neutron","","","Tau lepton","Muon","","Higgs boson","Up quark","","Down quark","","","","","","Bottom quark","Top quark","","Strange quark","Charm quark","","","","","No"
"2022/12/08 12:02:32 am GMT","Proton","Neutron","Electron","Muon","Tau lepton","Z boson","W boson(s)","Higgs boson","","","","","","","","","","Up quark","Down quark","Charm quark","Strange quark","Bottom quark","Top quark","","","","","","","","","","","","No"
"2022/12/08 1:20:22 am GMT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/08 1:37:05 am GMT","Proton","","Neutron","Electron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"2022/12/08 3:51:19 am GMT","Electron","Tau lepton","Proton","","","","","","","Neutron","Muon","Higgs boson","","W boson(s)","Z boson","","","Bottom quark","Top quark","","","Strange quark","Charm quark","","","Down quark","Up quark","","","","","","","","No"
"2022/12/08 4:47:14 am GMT","Proton","","","Electron","","Muon","","","","","Neutron","","","","","","","Up quark","Strange quark","Down quark","","","","Charm quark","","","","","","","","Top quark","","","No"
"2022/12/08 2:24:25 pm GMT","Proton","","Electron","","","","","","Neutron","","","","","","","","","Down quark","Up quark","","Top quark","Charm quark","Strange quark","","Bottom quark","","","","","","","","","","No"
"2022/12/08 2:26:52 pm GMT","Muon","W boson(s)","","Electron","Tau lepton","Z boson","","","Neutron","","","","Higgs boson","","","","","Top quark","Strange quark","Up quark","","","","Bottom quark","","Down quark","","","Charm quark","","","","","","No"
"2022/12/08 2:37:58 pm GMT","Proton","Neutron","Electron","W boson(s)","Tau lepton","Higgs boson","","","","","Z boson","","","","","","Muon","Up quark","","Down quark","","","","","","Bottom quark","Top quark","","","Charm quark","","","","Strange quark","No"
"2022/12/08 5:06:06 pm GMT","Proton","","Electron","Z boson","W boson(s)","Muon","","","","Neutron","","","","Tau lepton","","","Higgs boson","","","","","","","","","","","","","","","","","","No"
